project_name,project_by,location,status,project_desciption,possesion_date,area,unit_type,Super_builduparea,Builder_price,Apartment,total_unit,rera_id
Vajram Tiara,Vajram,Yelahanka,Under Construction,"Vajram Tiara is a premium residential project by Vajram Group situated in the prime locality of North Bangalore on Yelahanka Main Road within BDA Limits. Effective planning and strong architectural concept had formed the basis of the project design which has eventually lead to less ground coverage and 70% of open space for landscape. Well thought out design of Apartments and Individual block has provided maximum daylight and natural cross ventilation. Each and every apartment has been thoughtfully designed with large spacious balconies providing relaxing experience for its occupants. The project is conveniently located near several schools, hospitals and shopping Malls.",Possession date: Jun'19,3531 sq ft(4BHK+4T + Servant Room),4 BHK,"1,899 - 3,531 sq ft",₹ 90.20 L - ₹ 1.68 Cr,"3, 4 BHK",237,
Godrej Avenues,Godrej Properties,Yelahanka,Under Construction,"Godrej Avenues, located in Yelahanka Bangalore, offers apartments, with the price being on request. Located 14 kilometres north of Bangalore, this area is famous for its lakes. In recent times, a number of corporate giants have set up their offices in Yelahanka. NH 7 connects this area with the International Airport. It is also served widely by BMTC and KTC buses. The demand for property in Yelahanka is on an increasing trend, which is evident from the fact that there are presently 51 ongoing projects. State Highway 9 also passes through this area. Yelahanka hosts a number of reputed educational institutions, hospitals, shopping complexes, etc.",Possession date: Dec'19,1721 sq ft(3BHK+3T),3 BHK,"629 - 1,721 sq ft",₹ 29.56 L - ₹ 80.87 L,"1, 2, 3 BHK",420,RERA ID: PR/KN/170728/000229
Pramuk MM Meridian,Pramuk Infracon,Jayanagar,Under Construction,"Pramuk Infracon MM Meridian Bangalore comes with 3 and 4 BHK apartments for buyers. Average home sizes range between 2344 and 3540 sq. ft. at this project and it consists of a total of 150 units. Key amenities on offer at this project include a well equipped gymnasium, 24 hour security services, swimming pool, power backup facilities, car parking facilities, playing zone for kids, intercom facilities, landscaped gardens and indoor game facilities. Added amenities on offer at this project include a helipad, carom facilities, air conditioning, waste disposal system, lifts, billiards and table tennis, spa and sauna, party hall, meditation hall and amphitheatre among others. Located at Banashankari, the project is well linked to places like Padmanabhanagar, Rajarajeshwari Nagar, Kumaraswamy Layout and J P Nagar. .",Possession date: May'19,3540 sq ft(4BHK+4T   Servant Room),4 BHK,"2,236 - 3,540 sq ft",₹ 2.46 Cr - ₹ 3.89 Cr,"3, 4 BHK",100,RERA ID: PR/KN/170729/000128
KBR Elite,KBR Homes,Hebbal,Under Construction,"Hebbal in Bengaluru has ready to move in project of premium apartments by the KBR Homes Elite Real Estate Company. The neighbourhood is well settled with high schools, bank, primary schools, play schools, ATMs, hospitals, office complex, play schools, bus stand, and restaurants etc facilities near at hand. Other amenities that this project offers are a community with gates, a nice landscape, well maintained sewage lines, a gym, rain water harvesting system, security service, a jogging track, there is an availability of parking in low rise scheme along with a childrens playground area. The price of the apartments is based on the request value.",Possession date: Dec'18,2990 sq ft(3BHK+3T + Servant Room),3 BHK,"2,120 - 2,990 sq ft",₹ 1.38 Cr - ₹ 1.94 Cr,3 BHK,38,
Shriram Hebbal One,Shriram Properties,Hebbal,Under Construction,"Hebbal One is a project helmed by Shriram Properties and comes with 3 BHK apartments for buyers. The project spreads over an area of 1.3 acres. The project offers several amenities to residents, including a community hall, swimming pool, clubhouse, gymnasium, playing zone for kids and landscaped gardens. The project is well connected to several areas in Bangalore through the Bellary road and the Outer Ring Roads. The Bangalore International Airport is located approximately 29.2 kilometres away from the project. Added amenities for residents include power backup, basketball post, skating rink, jogging track, library, Wi-Fi connectivity and a lift.",Possession date: Mar'19,2475 sq ft(3BHK+3T + Servant Room),3 BHK,"1,685 - 2,475 sq ft",₹ 1.09 Cr - ₹ 1.61 Cr,3 BHK,160,RERA ID: PR/KN/170805/001159
Sterling Pointe,Sterling,Hebbal,Under Construction,"A premium housing project launched by Sterling, Pointe in Hebbal, Bangalore is offering Apartment starting at Rs 1.02 crore. It offers 3 BHK Apartment in Bangalore North. The project is Under Construction project and possession in Dec 18. Among the many luxurious amenities that the project boasts are Car Parking, Security Gate, Club House, Swimming Pool, Water Purification Plant etc. The Apartment are available from 1640 sqft to 1805 sqft at an attractive price points starting at @Rs 6,200 per sqft.",Possession date: Sep'19,1805 sq ft(3BHK+3T),3 BHK,"1,640 - 1,805 sq ft",₹ 1.03 Cr - ₹ 1.14 Cr,3 BHK,40,RERA ID: PR/KN/170728/000148
Eternity Epic,Eternity Structures,Hulimavu,Under Construction,,Possession date: Dec'18,1576 sq ft(3BHK+3T),3 BHK,"1,020 - 1,576 sq ft",₹ 41.82 L - ₹ 64.62 L,"2, 3 BHK",36,
SNR Wind Mill,SNR Square,Gottigere,Under Construction,"SNR Square Wind Mill is a new residential project by SNR Square located in Bannerghatta, Bangalore. Wind Mill offers 50 units of 2 and 3-BHK apartments with sizes ranging from 1,100 sq. ft. to 1,450 sq. ft. The apartments are Vaastu compliant and provide amenities like gymnasium, rain water harvesting facility, children’s play area, intercom facility, power backup, multipurpose hall and 24x7 security. Bannerghatta is a popular place to have property in Bangalore. It houses many well-known schools like AL- BASHEER International School, Sarathy English School, Mother Theresa Covent and Shrine Public School. Some key hospitals operating in this area include Vijayashree Hospitals, Medineuro Speciality Clinic and KVG Hospital. Affordably priced between 30.3 lacs and 39.9 lacs, SNR Square Wind Mill creates a life of joy and comfort for its residents.",Possession date: Nov'18,1450 sq ft(3BHK+2T),3 BHK,"1,100 - 1,450 sq ft",₹ 31.35 L - ₹ 41.33 L,"2, 3 BHK",50,
Loharuka Solaris,Loharuka Group,Gottigere,Under Construction,"Loharuka Group Solaris real estate association has amazed the market by building the best housing place project in Gottigere region of Bengaluru. This organization is offering premium apartments of best quality. These apartments are all set for moving in purpose. The amenities offered by this company and housing complex are a playground for the children and a nice green garden, 24 hours security, car parking and much more. The location has the benefit of other services like hospitals, banking, ATMs, petrol pumps, bus stations, schools, railway stations, restaurants, play schools etc. at a very short distance. The price of the apartments is depended on the request value.",Possession date: Jan'21,1729 sq ft(3BHK+3T),3 BHK,"1,090 - 1,729 sq ft",₹ 64.31 L - ₹ 1.02 Cr,"2, 3 BHK",180,RERA ID: PR/KN/170731/000883
Salarpuria Casa Irene,Salarpuria Sattva Group,Gottigere,Under Construction,"Salarpuria Casa Irene Bangalore offers 3 BHK apartments to buyers. The project comes with several amenities for residents including a well-equipped gymnasium, club house, playing area for kids, swimming pool, jogging track, multipurpose room, squash court, 24 hour security services, congregation space, spa and sauna, gazebo, library, party hall, viewing deck, half basketball court, waste management system, tennis court and more. Located at Gottigere, the project offers great connectivity to several areas including Vasanth Nagar, Chikballapur, Bommasandra, Frazer Town, Jalahalli, Brookefield, Varthur, JP Nagar Phase 7, Jakkur and Begur among others.",Possession date: Jun'19,2378 sq ft(3BHK+3T + Pooja Room),3 BHK,"1,894 - 2,378 sq ft",₹ 1.15 Cr - ₹ 1.45 Cr,3 BHK,228,
Triguna Palm Grove,Triguna Projects,Yelahanka,Under Construction,,Possession date: Dec'19,1266 sq ft(3BHK+3T),3 BHK,"806 - 1,266 sq ft",₹ 28.20 L - ₹ 44.30 L,"2, 3 BHK",28,
Triguna Ashwatha,Triguna Projects,Yelahanka,Under Construction,,Possession date: Jun'19,1430 sq ft(3BHK+3T),3 BHK,"876 - 1,430 sq ft",₹ 31.53 L - ₹ 51.47 L,"2, 3 BHK",58,
IN Edilon,In Land,Yelahanka,Under Construction,"Edilon by IN Land, located in Yelahanka Bangalore, offers apartments, with the price being on request. It provides amenities such as gymnasium, swimming pool, children's play area, club house, sports facility, power backup, landscaped gardens, indoor games, multipurpose room, intercom, maintenance staff, car parking, vaastu compliance, elevators, CCTV, fire fighting system, paved compound, and few others. Located 14 kilometres north of Bangalore, this area is famous for its lakes. In recent times, a number of corporate giants have set up their offices in Yelahanka. NH 7 connects this area with the International Airport. It is also served widely by BMTC and KTC buses. The current average price of an apartment in this locality is Rs. 4,169 per sq ft.",Possession date: Sep'18,2277 sq ft(3BHK+3T),3 BHK,"950 - 2,277 sq ft",₹ 49.88 L - ₹ 1.20 Cr,"2, 3 BHK",70,
Sobha Clovelly,Sobha Limited,Uttarahalli,Under Construction,"Sobha Clovelly Bangalore comes with 3 and 4 BHK apartments for buyers that are sized between 2051 and 4690 sq ft on an average. The project spreads over an area of 3.25 acres and consists of 137 units in all. Key amenities offered to residents at this project include a gymnasium, power backup facilities, swimming pool, car parking facilities, rainwater harvesting system, club house, 24 hour security services and maintenance services. Located at Uttarahalli, the project ensures great connectivity to places like Kumaraswamy Layout, Kathriguppe, Uttarahalli, Chennamanakere and Gowdanapalya along with Bommanahalli, Yelahanka, Hosakote, Kengeri, Dod Ballapur, Nelamangala and Devanahalli.",Possession date: Sep'19,4690 sq ft(4BHK+4T),4 BHK,"2,051 - 4,690 sq ft",₹ 1.71 Cr - ₹ 3.91 Cr,"3, 4 BHK",137,RERA ID: PR/KN/170730/000201
DS Sista,DS Max Properties,Uttarahalli,Under Construction,"Uttarahalli is one of the busy circles of Bengaluru. DS Max Sista Residency group of realtors is offering premium apartments in their project. The price of the apartments is based on the request value. These apartments are all set for moving in. All required necessities like ATMs, banks, hospitals, bus stations, schools, petrol pumps, restaurants, etc. all are available within the neighbourhood. The amenities of the project are a gymnasium, a clubhouse, a children’s playground, intercom facility, air conditioned community hall, 24x7 security services, power backup, reserved parking space, a playground and much more.",Possession date: Jul'19,1529 sq ft(3BHK+3T),3 BHK,"965 - 1,529 sq ft",₹ 42.99 L,"2, 3 BHK",88,
DS Savera,DS Max Properties,Uttarahalli,Under Construction,"DS Max Savera Bangalore comes with attractively designed 2 and 3 BHK apartments for buyers and offers several amenities to residents including a well equipped gymnasium, club house, swimming pool, rainwater harvesting system, playing area for children, 24 hour security services, intercom facilities, power backup facilities, jogging track, indoor game facilities, maintenance services, party hall, sewage treatment plant, table tennis facilities and community hall. Located at Uttarahalli, Bangalore.",Possession date: Jun'19,1979 sq ft(3BHK+3T),3 BHK,"1,002 - 1,979 sq ft",₹ 35.80 L - ₹ 69.27 L,"2, 3 BHK",280,
